Dataset Title,Category,Internal City Data or External Data,Next Update,Update Frequency,Data Source,Automated Updates?,Has Metadata (FGDC - CSDGM Format)
3rd Grade ELA Proficienty Levels by Census Block (SCSD 2021),Education,External,NA,NA,Syracuse City School District,No,Yes
Building Energy Benchmarking Report 2017,Utilities,External,One time assessment,One time assessment,USEPA Portfolio Manager,No,No
Building Permits (2013 - 2019),Permits,Internal,Monthly,Monthly,Central Permit Dept.,No,Yes
Capital Project and Grant Funds,Budget,Internal,TBD,Annually,Budget Office,No,Yes
Census Block Groups in Syracuse, NY (2010),Map,External,2022,Every 10 Years,Census Dept.,No,No
Census Tracts in Syracuse, NY (2020),Map,External,Every 10 years,Every 10 years,Census Bureau,No,No
City of Syracuse Wards,Map,Internal,NA (Historic Dataset),When Updated,,No,No
City Streets 2011,Map,External,When updated,When Updated,SOCPA,No,Yes
Cityline Calls for Service,Gov Services,Internal,NA (Now using SeeClickFix),NA (Now using SeeClickFix),DPW,No,No
Code Violations,Housing,Internal,Daily,Daily,Code Enforcement,Yes,Yes
Crime Data 2017 (Part 1 Offenses),Crime,Internal,NA (Historic Dataset),NA (Historic Dataset),Syracuse Police Department,NA,Yes
Crime Data 2019 (Part 1 Offenses),Crime,Internal,NA (Historic Dataset),NA (Historic Dataset),SPD,NA,Yes
Crime Data 2019 (Part 2 Offenses),Crime,Internal,NA (Historic Dataset),NA (Historic Dataset),SPD,NA,Yes
Crime Data 2020 (Part 1 Offenses),Crime,Internal,NA (Historic Dataset),NA (Historic Dataset),SPD,NA,Yes
Crime Data 2020 (Part 2 Offenses),Crime,Internal,NA (Historic Dataset),NA (Historic Dataset),SPD,NA,Yes
Crime Data 2020 (Part 2 Offenses),Crime,Internal,NA (Historic Dataset),NA (Historic Dataset),SPD,NA,Yes
Crime Data 2021 (Part 1 Offenses),Crime,Internal,NA (Historic Dataset),NA (Historic Dataset),SPD,NA,Yes
Crime Data 2021 (Part 2 Offenses),Crime,Internal,NA (Historic Dataset),NA (Historic Dataset),SPD,NA,Yes
Crime Data 2022 - Part 1 Offenses (With Lat & Long Info),Crime,Internal,Weekly,Weekly,SPD,NA,Partially
Crime Data 2022 (Part 1 Offenses),Crime,Internal,Weekly,Weekly,SPD,NA,Yes
Crime Data 2022 (Part 2 Offenses),Crime,Internal,Weekly,Weekly,SPD,NA,Yes
Downtown Syracuse - 3D Model (Downloadable),3D Model,External,NA (One Time),NA (One Time),ArcGIS City Engine,NA,Yes
Emergency Snow Routes,Snow,Internal,When Updated,When Updated,DPW,No,No
Fire Incidents,Fire,Internal,TBD,TBD,Fire Department,No,No
Fiscal Year 18 Adopted Budget,Budget,Internal,Nov. 2022,Annually,Finance,No,No
FY17 Actual Expenses,Budget,Internal,Nov 2022,Annually,Budget Office,No,Yes
FY17 Actual Revenues,Budget,Internal,June 2023,Annually,Budget Office,No,No
FY17 Spending,Budget,Internal,Jan 2023,Annually,Budget Office,No,No
FY18 Budgeted Expenses,Budget,Internal,May 2022,Annually,Budget Office,No,Yes
FY18 Budgeted Revenues,Budget,Internal,June 2023,Annually,Budget Office,No,No
FY19 Proposed Budget Expenditures,Budget,Internal,April 2022,Annually,Budget Office,No,No
FY19 Proposed Budget Revenue,Budget,Internal,May 2022,Annually,Budget Office,No,Yes
Greater Syracuse Bike Suitability Ratings (2020),Map,External,When updated,When Updated,SMTC,No,Yes
July 2018 Parcels,Map,Internal,TBD,When Updated,NBD,No,Yes
Kindergarten Readiness by Census Block (SCSD 2021),Education,External,NA,NA,Syracuse City School District,No,Yes
National Registry of Historic Sites and Districts - Syracuse,Map,External,TBD,When Updated,New York State Historic Preservation Office (NYSHPO),No,Yes
Parcel Data (April 2018 - Shapefile),Map,Internal,2022,Annually,NBD,No,No
Parcel Data (April 2018),Map,Internal,TBD,Annually,NBD,No,No
Parcel Data August 2017,Map,Internal,TBD,Annually,NBD,No,No
Parcel Map (October 2019),Map,Internal,When updated,When Updated,NBD,No,Yes
Parcel Map (Q1 2020),Map,Internal,TBD,Every couple years,NBD,No,No
Pavement Ratings (2020),Pavement,External,Approx. 2025,Every few years,Syracuse Metropolitan Transportation Council (SMTC),No,No
Pavement Ratings (2021),Pavement,External,NA (Historic Dataset),NA (Historic Dataset),DPW,NA,Yes
