X,Y,FID,Location,Date,Work_Order
-8476176.75148714,5312235.57701124,1,S. Salina St. & Orlando Ave.,2021/01/02 00:00:00+00,Main Break/Leak
-8478041.66526797,5323411.78565864,2,613 Second North St.,2021/01/05 00:00:00+00,Main Break/Leak
-8475228.63014974,5319477.87625238,3,1100 E. Washington St.,2021/01/06 00:00:00+00,Main Break/Leak
-8474723.26013035,5319618.76741849,4,Water St. & Pine St.,2021/01/07 00:00:00+00,Main Break/Leak
-8479726.12016012,5321218.39584145,5,401 Pulaski St.,2021/01/07 00:00:00+00,Main Break/Leak
-8476815.69323581,5322361.66488625,6,Herbert St. & Gilbert Ave.,2021/01/08 00:00:00+00,Main Break/Leak
-8478350.72329085,5321171.03269913,7,310 W. Kirkpatrick St.,2021/01/08 00:00:00+00,Main Break/Leak
-8479236.68102357,5318068.44756488,8,417 Merriman Ave.,2021/01/08 00:00:00+00,Main Break/Leak
-8478041.66526797,5323411.78565864,9,613 Second North St.,2021/01/09 00:00:00+00,Main Break/Leak
-8473587.77634185,5319336.35081836,10,1815 E. Fayette St.,2021/01/10 00:00:00+00,Main Break/Leak
-8475185.95955138,5319253.05981733,11,119 Ashworth Pl.,2021/01/10 00:00:00+00,Main Break/Leak
-8476842.10765577,5313763.15485409,12,111 Pierce St.,2021/01/11 00:00:00+00,Main Break/Leak
-8470828.69825776,5317880.05168244,13,2408 Euclid Ave.,2021/01/12 00:00:00+00,Main Break/Leak
-8481873.03067628,5319238.87865194,14,Myrtle St. & Hamilton St.,2021/01/13 00:00:00+00,Main Break/Leak
-8473045.431729,5316745.27800694,15,704 Meadowbrook Dr.,2021/01/17 00:00:00+00,Main Break/Leak
-8474580.64068809,5315343.47635913,16,Comstock Ave. & Daybreak Lane,2021/01/20 00:00:00+00,Main Break/Leak
-8474823.12133798,5318873.49871804,17,Comstock Ave. & Madison St.,2021/01/23 00:00:00+00,Main Break/Leak
-8470397.65801796,5320339.00742386,18,Erie Blvd E. & Smith St.,2021/01/25 00:00:00+00,Main Break/Leak
-8470397.65801796,5320339.00742386,19,Smith St. & Erie Blvd E.,2021/01/25 00:00:00+00,Main Break/Leak
-8470480.79291384,5320317.69637972,20,2876 Erie Blvd E.,2021/01/26 00:00:00+00,Main Break/Leak
-8478193.90698879,5323524.99197343,21,707 Wolf St.,2021/01/27 00:00:00+00,Main Break/Leak
-8478014.81472283,5321867.00043118,22,204 Sunset Ave.,2021/01/27 00:00:00+00,Main Break/Leak
-8476689.9158894,5318848.7850456,23,727 S. State St.,2021/01/28 00:00:00+00,Main Break/Leak
-8479486.94021526,5316111.89916191,24,125-127 Robineau Rd.,2021/01/29 00:00:00+00,Main Break/Leak
-8470843.96389659,5320291.66437754,25,2775 Erie Blvd E.,2021/01/29 00:00:00+00,Main Break/Leak
-8477812.4527358,5316623.58084006,26,118 Dearborn Pl.,2021/01/30 00:00:00+00,Main Break/Leak
-8476214.21256089,5320348.43340185,27,James St. & Catherine St.,2021/01/30 00:00:00+00,Main Break/Leak
-8474612.75381188,5322695.52017903,28,465 Brattle Rd.,2021/02/01 00:00:00+00,Main Break/Leak
-8478548.91046493,5323271.45544882,29,419 Hiawatha Blvd. E.,2021/02/01 00:00:00+00,Main Break/Leak
-8478958.10662634,5314196.15497308,30,Lynch Ave. & Russell Pl.,2021/02/03 00:00:00+00,Main Break/Leak
-8472829.87266619,5322400.1505099,31,2400 James St.,2021/02/04 00:00:00+00,Main Break/Leak
-8482037.74302526,5319601.18445127,32,640 Myrtle St.,2021/02/04 00:00:00+00,Main Break/Leak
-8479698.88915306,5321688.61998752,33,Hiawatha Blvd. W. & Van Rensselaer St.,2021/02/05 00:00:00+00,Main Break/Leak
-8479902.30334997,5319921.06086265,34,Park Ave. & Sackett St.,2021/02/09 00:00:00+00,Main Break/Leak
-8473815.45085951,5315306.33529473,35,Lancaster Ave. & E. Colvin St.,2021/02/10 00:00:00+00,Main Break/Leak
-8475732.72369671,5322647.28549473,36,156 Wadsworth St.,2021/02/10 00:00:00+00,Main Break/Leak
-8479391.92651799,5318967.61425043,37,1117 W. Fayette St.,2021/02/12 00:00:00+00,Main Break/Leak
-8472173.31691906,5317427.9569057,38,409 Scott Ave.,2021/02/15 00:00:00+00,Main Break/Leak
-8475879.20497705,5311401.8530061,39,207 Weymouth Rd.,2021/02/16 00:00:00+00,Main Break/Leak
-8479406.1564632,5318997.1878307,40,1120 W. Fayette St.,2021/02/16 00:00:00+00,Main Break/Leak
-8473605.46063896,5321320.88580278,41,515 Boyden St.,2021/02/18 00:00:00+00,Main Break/Leak
-8475263.81164869,5319900.94807866,42,646 Burnet Ave.,2021/02/18 00:00:00+00,Main Break/Leak
-8474386.35939959,5320161.90170398,43,132 Fairview Ave.,2021/02/19 00:00:00+00,Main Break/Leak
-8474386.35939959,5320161.90170398,44,132 Fairview Av.,2021/02/19 00:00:00+00,Main Break/Leak
-8478427.97123075,5320399.9861011,45,Leavenworth Ave & I-690,2021/02/20 00:00:00+00,Main Break/Leak
-8476671.90245242,5322431.03166145,46,309-311 Curtis St.,2021/02/21 00:00:00+00,Main Break/Leak
-8475108.21728867,5319978.98505843,47,310 Lodi St.,2021/02/22 00:00:00+00,Main Break/Leak
-8471913.41319123,5321399.79467741,48,S. Midler Ave. & Sunnycrest Rd.,2021/02/25 00:00:00+00,Main Break/Leak
